id,status,created_date,updated_date,area,user
64,false,5/24/2023,5/3/2023,Legal,1
65,false,8/15/2023,1/26/2023,Accounting,1
66,false,4/22/2023,11/28/2023,Engineering,1
67,true,10/15/2023,8/20/2023,Training,1
68,true,8/1/2023,9/13/2023,Accounting,1
69,true,6/1/2023,12/12/2023,Training,1
70,false,2/14/2023,4/17/2023,Training,1
71,false,2/16/2023,7/15/2023,Training,1
72,false,3/26/2023,1/7/2024,Sales,1
73,true,12/3/2023,3/11/2023,Services,1
74,false,11/18/2023,5/19/2023,Training,1
75,true,6/12/2023,8/26/2023,Business Development,1
76,true,2/5/2023,10/16/2023,Business Development,1
77,false,2/3/2023,1/11/2024,Business Development,1
78,false,4/10/2023,3/29/2023,Sales,1
79,false,12/27/2023,10/9/2023,Accounting,1
80,false,1/29/2023,5/14/2023,Services,1
81,true,9/24/2023,1/15/2024,Research and Development,1
82,true,1/1/2024,1/20/2023,Services,1
83,false,6/6/2023,7/28/2023,Sales,1
84,true,4/20/2023,4/5/2023,Accounting,1
85,true,11/6/2023,5/27/2023,Accounting,1
86,true,7/20/2023,7/31/2023,Engineering,1
87,false,10/7/2023,1/9/2024,Business Development,1
88,true,7/14/2023,11/30/2023,Legal,1
89,true,6/30/2023,1/25/2023,Marketing,1
90,true,7/19/2023,2/1/2023,Research and Development,1
91,false,5/28/2023,9/11/2023,Engineering,1
92,false,9/7/2023,1/22/2023,Human Resources,1
93,true,5/18/2023,7/22/2023,Sales,1
94,false,11/7/2023,4/10/2023,Support,1
95,false,12/31/2023,4/23/2023,Engineering,1
96,true,5/21/2023,5/25/2023,Research and Development,1
97,false,9/17/2023,3/5/2023,Services,1
98,false,2/10/2023,12/16/2023,Business Development,1
99,false,1/5/2024,8/25/2023,Human Resources,1
100,true,11/18/2023,8/15/2023,Training,1
101,false,9/17/2023,5/14/2023,Sales,1
102,false,9/21/2023,7/18/2023,Legal,1
103,true,5/11/2023,3/19/2023,Marketing,1
104,false,2/20/2023,10/2/2023,Business Development,1
105,false,6/2/2023,4/17/2023,Legal,1
106,true,4/20/2023,8/12/2023,Support,1
107,false,10/24/2023,1/17/2023,Human Resources,1
108,true,5/10/2023,12/20/2023,Accounting,1
109,true,10/21/2023,4/24/2023,Human Resources,1
110,false,3/5/2023,4/21/2023,Legal,1
111,false,6/24/2023,1/25/2023,Product Management,1
112,true,8/29/2023,7/23/2023,Human Resources,1
113,true,10/30/2023,10/16/2023,Support,1
114,true,8/22/2023,11/15/2023,Engineering,1
115,false,5/14/2023,11/26/2023,Legal,1
116,true,1/12/2024,8/17/2023,Training,1
117,false,6/3/2023,7/17/2023,Engineering,1
118,false,8/27/2023,8/30/2023,Research and Development,1
119,true,9/7/2023,4/28/2023,Business Development,1
120,false,7/20/2023,3/1/2023,Research and Development,1
121,false,9/2/2023,10/8/2023,Legal,1
122,true,6/19/2023,6/10/2023,Support,1
123,false,7/8/2023,4/28/2023,Engineering,1
124,true,8/18/2023,11/7/2023,Engineering,1
125,false,4/25/2023,6/22/2023,Business Development,1
126,false,7/23/2023,3/27/2023,Product Management,1
127,true,12/16/2023,10/5/2023,Product Management,1
128,false,8/24/2023,12/2/2023,Marketing,1
129,true,5/20/2023,4/18/2023,Support,1
130,false,8/23/2023,7/27/2023,Human Resources,1
131,false,3/6/2023,4/7/2023,Services,1
132,false,10/9/2023,3/20/2023,Legal,1
133,true,4/29/2023,10/21/2023,Training,1
134,true,5/28/2023,12/15/2023,Sales,1
135,false,9/30/2023,4/13/2023,Product Management,1
136,true,10/12/2023,3/31/2023,Services,1
137,false,4/22/2023,11/12/2023,Engineering,1
138,false,6/15/2023,6/18/2023,Engineering,1
139,false,6/12/2023,2/23/2023,Accounting,1
140,false,5/29/2023,1/14/2024,Training,1
141,true,1/2/2024,8/27/2023,Accounting,1
142,true,2/22/2023,2/28/2023,Human Resources,1
143,true,4/26/2023,1/8/2024,Business Development,1
144,true,9/2/2023,10/13/2023,Marketing,1
145,false,4/22/2023,5/15/2023,Human Resources,1
146,true,10/11/2023,2/15/2023,Engineering,1
147,true,5/28/2023,8/25/2023,Marketing,1
148,true,12/19/2023,8/5/2023,Product Management,1
149,true,12/11/2023,11/2/2023,Legal,1
150,false,8/2/2023,11/21/2023,Engineering,1
151,false,1/13/2024,12/3/2023,Research and Development,1
152,true,3/11/2023,12/5/2023,Marketing,1
153,true,4/8/2023,10/15/2023,Product Management,1
154,true,10/31/2023,9/23/2023,Services,1
155,false,3/7/2023,11/1/2023,Product Management,1
156,false,8/30/2023,12/3/2023,Human Resources,1
157,false,10/10/2023,11/28/2023,Engineering,1
158,true,8/12/2023,2/6/2023,Training,1
159,true,10/28/2023,9/9/2023,Accounting,1
160,true,11/15/2023,2/17/2023,Sales,1
161,false,11/5/2023,9/10/2023,Sales,1
162,false,1/18/2023,4/22/2023,Human Resources,1
163,false,2/28/2023,9/13/2023,Services,1
164,false,3/16/2023,11/29/2023,Engineering,1
165,false,5/25/2023,8/20/2023,Product Management,1
166,true,5/5/2023,3/5/2023,Sales,1
167,false,4/10/2023,7/16/2023,Support,1
168,true,5/7/2023,2/1/2023,Sales,1
169,true,8/5/2023,3/4/2023,Engineering,1
170,true,7/25/2023,8/3/2023,Marketing,1
171,false,5/5/2023,1/21/2023,Sales,1
172,true,12/7/2023,7/27/2023,Engineering,1
173,true,8/26/2023,6/27/2023,Human Resources,1
174,false,4/8/2023,5/14/2023,Human Resources,1
175,false,11/4/2023,4/2/2023,Engineering,1
176,true,11/12/2023,11/24/2023,Engineering,1
177,false,4/24/2023,1/12/2024,Engineering,1
178,true,5/11/2023,9/14/2023,Support,1
179,false,8/31/2023,12/3/2023,Research and Development,1
180,true,6/15/2023,7/31/2023,Research and Development,1
181,false,6/20/2023,11/23/2023,Sales,1
182,false,1/17/2023,12/7/2023,Business Development,1
183,false,12/1/2023,8/22/2023,Marketing,1
184,false,10/9/2023,11/10/2023,Product Management,1
185,true,9/21/2023,8/26/2023,Research and Development,1
186,true,12/27/2023,4/19/2023,Research and Development,1
187,false,2/13/2023,5/5/2023,Training,1
188,false,1/16/2023,8/5/2023,Research and Development,1
189,true,7/9/2023,4/7/2023,Marketing,1
190,false,10/18/2023,2/25/2023,Support,1
191,true,6/16/2023,9/16/2023,Human Resources,1
192,true,4/3/2023,6/8/2023,Human Resources,1
193,true,10/29/2023,1/20/2023,Marketing,1
194,false,8/12/2023,6/24/2023,Product Management,1
195,true,5/29/2023,7/21/2023,Research and Development,1
196,true,4/2/2023,2/4/2023,Accounting,1
197,false,1/25/2023,3/19/2023,Human Resources,1
198,true,12/8/2023,10/3/2023,Human Resources,1
199,true,12/4/2023,10/26/2023,Training,1
200,false,1/9/2024,5/25/2023,Legal,1
201,true,1/10/2024,2/4/2023,Engineering,1
202,false,4/26/2023,2/7/2023,Accounting,1
203,true,7/19/2023,2/23/2023,Support,1
204,true,1/29/2023,3/16/2023,Engineering,1
205,true,9/1/2023,9/12/2023,Services,1
206,false,8/21/2023,7/25/2023,Accounting,1
207,false,6/23/2023,2/6/2023,Marketing,1
208,true,5/29/2023,1/2/2024,Business Development,1
209,false,6/23/2023,5/11/2023,Support,1
210,false,6/22/2023,6/7/2023,Legal,1
211,false,4/6/2023,5/6/2023,Product Management,1
212,true,4/5/2023,5/24/2023,Marketing,1
213,false,9/9/2023,4/24/2023,Human Resources,1
214,false,2/1/2023,4/16/2023,Legal,1
215,false,5/16/2023,12/28/2023,Support,1
216,true,12/19/2023,11/12/2023,Business Development,1
217,true,1/16/2023,12/17/2023,Accounting,1
218,true,3/8/2023,1/10/2024,Services,1
219,true,3/30/2023,7/16/2023,Research and Development,1
220,false,2/21/2023,3/31/2023,Legal,1
221,true,6/4/2023,4/17/2023,Human Resources,1
222,true,4/28/2023,5/22/2023,Product Management,1
223,true,12/21/2023,11/28/2023,Sales,1
224,false,1/13/2024,9/17/2023,Services,1
225,false,10/22/2023,2/6/2023,Marketing,1
226,true,5/11/2023,5/15/2023,Human Resources,1
227,false,8/31/2023,1/14/2024,Training,1
228,false,5/29/2023,4/9/2023,Support,1
229,false,11/9/2023,2/13/2023,Product Management,1
230,true,3/12/2023,8/4/2023,Business Development,1
231,true,3/3/2023,12/4/2023,Marketing,1
232,true,3/11/2023,9/22/2023,Engineering,1
233,false,4/20/2023,11/15/2023,Marketing,1
234,true,11/15/2023,8/29/2023,Accounting,1
235,false,8/24/2023,7/23/2023,Training,1
236,false,10/18/2023,4/15/2023,Sales,1
237,false,6/18/2023,12/27/2023,Research and Development,1
238,false,8/1/2023,5/18/2023,Human Resources,1
239,false,10/19/2023,4/12/2023,Accounting,1
240,true,2/28/2023,7/11/2023,Legal,1
241,false,3/19/2023,8/27/2023,Research and Development,1
242,false,6/11/2023,9/14/2023,Services,1
243,true,3/6/2023,3/5/2023,Legal,1
244,true,3/25/2023,1/15/2024,Services,1
245,true,3/8/2023,4/17/2023,Services,1
246,false,6/11/2023,1/10/2024,Accounting,1
247,true,8/11/2023,7/24/2023,Legal,1
248,true,11/2/2023,6/8/2023,Human Resources,1
249,false,4/10/2023,12/28/2023,Support,1
250,false,9/23/2023,5/23/2023,Human Resources,1
251,false,1/24/2023,2/23/2023,Training,1
252,true,12/4/2023,1/2/2024,Sales,1
253,false,6/24/2023,8/18/2023,Business Development,1
254,false,3/12/2023,11/16/2023,Sales,1
255,true,7/7/2023,8/14/2023,Legal,1
256,true,8/25/2023,11/10/2023,Training,1
257,false,1/2/2024,12/25/2023,Product Management,1
258,false,10/24/2023,6/10/2023,Sales,1
259,false,5/1/2023,8/2/2023,Training,1
260,true,4/4/2023,10/7/2023,Research and Development,1
261,false,1/24/2023,5/15/2023,Accounting,1
262,false,11/13/2023,9/20/2023,Research and Development,1
263,false,4/18/2023,12/1/2023,Marketing,1
264,false,6/3/2023,12/15/2023,Support,1
265,false,3/3/2023,6/17/2023,Accounting,1
266,false,11/14/2023,5/9/2023,Marketing,1
267,true,11/16/2023,6/5/2023,Services,1
268,false,3/4/2023,10/24/2023,Product Management,1
269,false,4/25/2023,10/7/2023,Marketing,1
270,true,6/18/2023,8/16/2023,Sales,1
271,true,1/30/2023,12/25/2023,Engineering,1
272,false,4/27/2023,2/18/2023,Human Resources,1
273,false,10/25/2023,9/1/2023,Services,1
274,true,1/20/2023,6/26/2023,Engineering,1
275,false,9/12/2023,4/17/2023,Business Development,1
276,false,1/20/2023,10/25/2023,Engineering,1
277,true,11/10/2023,4/11/2023,Accounting,1
278,true,7/21/2023,4/14/2023,Human Resources,1
279,true,4/10/2023,7/13/2023,Human Resources,1
280,false,9/1/2023,11/4/2023,Support,1
281,true,11/4/2023,4/9/2023,Business Development,1
282,false,3/13/2023,9/28/2023,Marketing,1
283,false,9/9/2023,2/7/2023,Engineering,1
284,false,3/12/2023,7/27/2023,Product Management,1
285,true,4/13/2023,3/16/2023,Marketing,1
286,true,12/5/2023,9/24/2023,Services,1
287,true,5/15/2023,3/10/2023,Support,1
288,false,8/11/2023,7/24/2023,Support,1
289,true,12/7/2023,7/2/2023,Training,1
290,false,7/24/2023,5/2/2023,Services,1
291,false,6/15/2023,5/4/2023,Human Resources,1
292,false,10/16/2023,1/26/2023,Legal,1
293,true,9/20/2023,12/13/2023,Accounting,1
294,false,6/4/2023,9/10/2023,Sales,1
295,true,1/1/2024,10/23/2023,Support,1
296,true,9/16/2023,1/8/2024,Marketing,1
297,true,10/10/2023,6/16/2023,Services,1
298,false,6/6/2023,1/4/2024,Research and Development,1
299,true,9/3/2023,6/14/2023,Accounting,1
300,true,11/15/2023,9/8/2023,Services,1
301,false,2/18/2023,1/11/2024,Accounting,1
302,true,11/22/2023,4/4/2023,Engineering,1
303,true,12/10/2023,6/29/2023,Training,1
304,true,10/3/2023,6/20/2023,Sales,1
305,true,2/24/2023,12/10/2023,Engineering,1
306,false,10/4/2023,10/25/2023,Sales,1
307,true,2/28/2023,12/3/2023,Business Development,1
308,false,6/8/2023,1/22/2023,Business Development,1
309,true,1/11/2024,10/14/2023,Services,1
310,true,1/21/2023,12/21/2023,Product Management,1
311,false,7/19/2023,11/16/2023,Services,1
312,true,1/6/2024,8/24/2023,Training,1
313,true,1/27/2023,8/2/2023,Accounting,1
314,false,11/14/2023,9/2/2023,Training,1
315,false,1/30/2023,8/7/2023,Human Resources,1
316,true,3/11/2023,4/30/2023,Sales,1
317,true,12/20/2023,12/25/2023,Legal,1
318,false,12/24/2023,4/12/2023,Sales,1
319,true,5/8/2023,2/3/2023,Services,1
320,true,7/9/2023,10/30/2023,Accounting,1
321,true,2/23/2023,12/17/2023,Training,1
322,true,3/24/2023,5/25/2023,Legal,1
323,false,9/8/2023,10/17/2023,Accounting,1
324,false,4/14/2023,10/23/2023,Human Resources,1
325,false,9/4/2023,8/27/2023,Engineering,1
326,true,9/6/2023,6/4/2023,Research and Development,1
327,true,4/7/2023,3/3/2023,Accounting,1
328,true,9/21/2023,10/15/2023,Sales,1
329,false,6/10/2023,12/1/2023,Research and Development,1
330,false,12/4/2023,3/15/2023,Accounting,1
331,true,5/26/2023,1/20/2023,Engineering,1
332,true,8/20/2023,8/1/2023,Sales,1
333,true,6/22/2023,6/4/2023,Research and Development,1
334,false,1/7/2024,7/6/2023,Research and Development,1
335,false,2/9/2023,8/11/2023,Legal,1
336,true,12/16/2023,5/1/2023,Training,1
337,true,2/25/2023,1/22/2023,Marketing,1
338,false,3/5/2023,9/3/2023,Services,1
339,true,3/7/2023,10/7/2023,Engineering,1
340,true,4/21/2023,3/9/2023,Accounting,1
341,false,8/30/2023,3/9/2023,Business Development,1
342,false,10/30/2023,4/21/2023,Support,1
343,false,6/26/2023,4/18/2023,Marketing,1
344,false,10/23/2023,6/6/2023,Human Resources,1
345,true,4/6/2023,11/2/2023,Accounting,1
346,false,3/15/2023,4/12/2023,Product Management,1
347,true,4/7/2023,5/27/2023,Training,1
348,true,9/6/2023,3/12/2023,Services,1
349,true,11/19/2023,1/2/2024,Support,1
350,false,1/11/2024,8/20/2023,Support,1
351,false,6/24/2023,2/10/2023,Accounting,1
352,true,11/4/2023,7/29/2023,Human Resources,1
353,false,9/6/2023,9/8/2023,Product Management,1
354,false,7/6/2023,5/6/2023,Services,1
355,false,3/4/2023,4/11/2023,Research and Development,1
356,false,1/22/2023,8/23/2023,Training,1
357,true,1/31/2023,2/5/2023,Legal,1
358,true,4/26/2023,5/19/2023,Business Development,1
359,false,12/15/2023,6/21/2023,Engineering,1
360,true,6/8/2023,11/5/2023,Sales,1
361,true,7/23/2023,10/2/2023,Human Resources,1
362,false,1/7/2024,10/6/2023,Human Resources,1
363,false,9/29/2023,3/29/2023,Business Development,1
364,false,12/26/2023,10/15/2023,Marketing,1
365,false,8/26/2023,7/30/2023,Marketing,1
366,true,9/4/2023,1/22/2023,Product Management,1
367,true,11/28/2023,2/16/2023,Business Development,1
368,true,2/13/2023,9/21/2023,Legal,1
369,false,8/6/2023,9/22/2023,Legal,1
370,true,1/15/2024,7/5/2023,Support,1
371,true,1/18/2023,12/4/2023,Business Development,1
372,false,5/23/2023,12/7/2023,Product Management,1
373,true,9/20/2023,7/16/2023,Support,1
374,false,6/4/2023,11/22/2023,Legal,1
375,true,6/26/2023,11/9/2023,Accounting,1
376,false,2/28/2023,9/23/2023,Business Development,1
377,true,2/10/2023,4/30/2023,Research and Development,1
378,true,7/28/2023,5/5/2023,Human Resources,1
379,true,12/29/2023,10/3/2023,Human Resources,1
380,false,10/13/2023,11/5/2023,Support,1
381,true,2/15/2023,4/12/2023,Human Resources,1
382,true,10/2/2023,5/22/2023,Support,1
383,false,12/27/2023,5/10/2023,Engineering,1
384,true,12/5/2023,10/1/2023,Sales,1
385,false,3/6/2023,6/20/2023,Research and Development,1
386,false,11/8/2023,4/18/2023,Services,1
387,false,8/2/2023,5/9/2023,Engineering,1
388,true,12/21/2023,10/26/2023,Business Development,1
389,false,6/9/2023,9/3/2023,Services,1
390,false,4/24/2023,7/16/2023,Business Development,1
391,false,9/20/2023,4/29/2023,Engineering,1
392,true,1/12/2024,6/11/2023,Research and Development,1
393,true,2/18/2023,5/5/2023,Product Management,1
394,false,7/25/2023,11/9/2023,Services,1
395,true,2/23/2023,7/29/2023,Support,1
396,false,6/16/2023,9/27/2023,Marketing,1
397,true,3/24/2023,7/12/2023,Legal,1
398,true,12/9/2023,11/29/2023,Marketing,1
399,false,6/16/2023,3/16/2023,Accounting,1
400,false,12/7/2023,11/22/2023,Marketing,1
401,true,9/3/2023,6/21/2023,Business Development,1
402,true,12/31/2023,8/29/2023,Business Development,1
403,true,6/18/2023,11/6/2023,Sales,1
404,false,12/10/2023,7/24/2023,Sales,1
405,true,7/6/2023,10/23/2023,Legal,1
406,false,10/11/2023,7/31/2023,Support,1
407,false,2/8/2023,11/2/2023,Accounting,1
408,false,11/14/2023,9/26/2023,Services,1
409,false,12/27/2023,4/13/2023,Support,1
410,false,10/5/2023,11/27/2023,Services,1
411,true,9/23/2023,6/25/2023,Engineering,1
412,true,4/30/2023,9/13/2023,Marketing,1
413,false,10/11/2023,5/15/2023,Legal,1
414,true,3/19/2023,12/2/2023,Research and Development,1
415,true,1/17/2023,11/12/2023,Product Management,1
416,false,7/24/2023,3/3/2023,Accounting,1
417,false,7/31/2023,1/9/2024,Marketing,1
418,true,1/13/2024,8/19/2023,Training,1
419,true,4/20/2023,7/17/2023,Engineering,1
420,true,3/6/2023,8/10/2023,Accounting,1
421,false,7/7/2023,12/2/2023,Sales,1
422,false,12/16/2023,12/14/2023,Accounting,1
423,true,10/25/2023,7/13/2023,Training,1
424,false,4/17/2023,7/25/2023,Services,1
425,true,7/13/2023,3/21/2023,Human Resources,1
426,false,4/13/2023,8/7/2023,Legal,1
427,true,7/14/2023,8/12/2023,Training,1
428,true,11/20/2023,11/9/2023,Human Resources,1
429,false,1/10/2024,11/21/2023,Accounting,1
430,false,9/12/2023,9/23/2023,Research and Development,1
431,false,4/20/2023,4/22/2023,Legal,1
432,false,1/17/2023,4/26/2023,Human Resources,1
433,true,10/11/2023,9/10/2023,Support,1
434,true,5/14/2023,3/9/2023,Support,1
435,true,9/16/2023,3/7/2023,Legal,1
436,true,4/8/2023,7/30/2023,Human Resources,1
437,true,3/11/2023,4/18/2023,Training,1
438,false,11/24/2023,8/7/2023,Legal,1
439,false,7/13/2023,3/29/2023,Product Management,1
440,true,7/25/2023,8/11/2023,Marketing,1
441,false,8/24/2023,11/22/2023,Accounting,1
442,true,11/4/2023,10/29/2023,Research and Development,1
443,false,2/1/2023,5/27/2023,Accounting,1
444,false,11/24/2023,9/27/2023,Engineering,1
445,true,10/16/2023,1/5/2024,Engineering,1
446,true,6/19/2023,7/21/2023,Human Resources,1
447,false,11/4/2023,6/14/2023,Human Resources,1
448,true,6/11/2023,1/18/2023,Marketing,1
449,false,7/13/2023,8/4/2023,Product Management,1
450,true,6/6/2023,12/10/2023,Product Management,1
451,true,1/18/2023,10/27/2023,Services,1
452,true,2/14/2023,3/26/2023,Marketing,1
453,false,4/1/2023,4/23/2023,Product Management,1
454,false,7/19/2023,3/5/2023,Sales,1
455,true,6/4/2023,7/8/2023,Sales,1
456,true,5/26/2023,5/28/2023,Research and Development,1
457,false,3/18/2023,4/28/2023,Engineering,1
458,false,3/8/2023,2/7/2023,Legal,1
459,false,12/6/2023,5/18/2023,Training,1
460,true,6/13/2023,7/17/2023,Sales,1
461,false,3/27/2023,3/30/2023,Marketing,1
462,true,4/26/2023,8/1/2023,Human Resources,1
463,true,5/25/2023,1/10/2024,Legal,1
464,true,8/23/2023,10/29/2023,Services,1
465,true,11/20/2023,9/3/2023,Training,1
466,false,2/7/2023,2/17/2023,Business Development,1
467,true,8/1/2023,5/15/2023,Training,1
468,true,11/10/2023,10/18/2023,Product Management,1
469,true,1/3/2024,4/14/2023,Research and Development,1
470,false,8/20/2023,7/4/2023,Legal,1
471,false,2/2/2023,2/21/2023,Legal,1
472,true,6/22/2023,10/21/2023,Product Management,1
473,true,4/12/2023,7/22/2023,Training,1
474,true,10/25/2023,9/10/2023,Accounting,1
475,true,9/16/2023,5/19/2023,Engineering,1
476,true,8/31/2023,4/7/2023,Sales,1
477,false,7/29/2023,8/27/2023,Accounting,1
478,false,11/22/2023,1/14/2024,Legal,1
479,false,10/2/2023,10/3/2023,Accounting,1
480,false,11/8/2023,11/4/2023,Services,1
481,true,4/24/2023,4/29/2023,Services,1
482,true,10/30/2023,7/17/2023,Legal,1
483,true,3/10/2023,7/5/2023,Engineering,1
484,false,11/8/2023,10/15/2023,Human Resources,1
485,true,9/1/2023,2/4/2023,Legal,1
486,true,10/15/2023,8/16/2023,Support,1
487,false,7/24/2023,3/16/2023,Research and Development,1
488,false,9/12/2023,4/17/2023,Accounting,1
489,true,12/14/2023,7/22/2023,Legal,1
490,false,11/12/2023,8/5/2023,Product Management,1
491,true,7/31/2023,6/18/2023,Sales,1
492,true,6/25/2023,11/27/2023,Business Development,1
493,false,4/15/2023,6/29/2023,Sales,1
494,true,9/3/2023,5/10/2023,Research and Development,1
495,false,3/22/2023,8/29/2023,Services,1
496,true,6/30/2023,12/24/2023,Engineering,1
497,false,5/23/2023,1/23/2023,Support,1
498,true,5/9/2023,7/6/2023,Accounting,1
499,false,1/19/2023,1/26/2023,Sales,1
500,true,7/31/2023,5/10/2023,Product Management,1
501,true,10/21/2023,10/19/2023,Sales,1
502,true,10/9/2023,1/2/2024,Product Management,1
503,true,11/11/2023,6/14/2023,Engineering,1
504,true,4/1/2023,10/4/2023,Research and Development,1
505,false,3/1/2023,8/28/2023,Training,1
506,false,3/29/2023,4/30/2023,Human Resources,1
507,false,4/18/2023,9/12/2023,Sales,1
508,true,4/27/2023,9/2/2023,Product Management,1
509,true,7/25/2023,8/13/2023,Support,1
510,true,8/11/2023,4/17/2023,Services,1
511,false,1/24/2023,9/25/2023,Business Development,1
512,false,8/15/2023,11/20/2023,Accounting,1
513,true,1/13/2024,9/10/2023,Engineering,1
514,true,11/1/2023,8/7/2023,Accounting,1
515,true,5/16/2023,12/24/2023,Business Development,1
516,false,10/16/2023,3/22/2023,Product Management,1
517,true,5/13/2023,10/29/2023,Human Resources,1
518,true,9/28/2023,6/5/2023,Training,1
519,false,7/6/2023,4/20/2023,Research and Development,1
520,true,11/15/2023,2/25/2023,Business Development,1
521,false,11/26/2023,12/7/2023,Accounting,1
522,true,10/6/2023,12/13/2023,Business Development,1
523,false,1/22/2023,4/17/2023,Research and Development,1
524,true,9/1/2023,1/19/2023,Marketing,1
525,false,1/4/2024,2/10/2023,Support,1
526,true,11/2/2023,6/19/2023,Business Development,1
527,false,1/21/2023,10/17/2023,Legal,1
528,false,10/22/2023,8/21/2023,Services,1
529,true,9/16/2023,2/8/2023,Accounting,1
530,true,12/16/2023,5/3/2023,Research and Development,1
531,false,5/19/2023,6/13/2023,Training,1
532,true,6/29/2023,8/5/2023,Support,1
533,false,8/5/2023,10/1/2023,Product Management,1
534,true,4/25/2023,5/31/2023,Support,1
535,false,11/19/2023,9/11/2023,Research and Development,1
536,true,1/11/2024,9/1/2023,Engineering,1
537,true,1/25/2023,6/14/2023,Research and Development,1
538,false,7/22/2023,11/13/2023,Legal,1
539,false,3/16/2023,11/18/2023,Legal,1
540,false,2/5/2023,11/27/2023,Services,1
541,true,7/4/2023,2/11/2023,Accounting,1
542,false,10/13/2023,3/22/2023,Research and Development,1
543,true,7/27/2023,4/16/2023,Support,1
544,true,10/17/2023,8/11/2023,Legal,1
545,false,5/6/2023,12/31/2023,Support,1
546,true,8/25/2023,3/11/2023,Marketing,1
547,true,9/12/2023,5/6/2023,Engineering,1
548,false,1/9/2024,6/12/2023,Legal,1
549,false,5/12/2023,7/1/2023,Engineering,1
550,true,6/12/2023,3/4/2023,Support,1
551,true,8/11/2023,6/9/2023,Legal,1
552,true,10/1/2023,9/15/2023,Training,1
553,true,10/17/2023,3/20/2023,Business Development,1
554,false,3/11/2023,10/3/2023,Accounting,1
555,false,5/13/2023,9/6/2023,Product Management,1
556,true,7/5/2023,8/6/2023,Training,1
557,false,12/17/2023,3/23/2023,Legal,1
558,true,9/7/2023,1/30/2023,Product Management,1
559,true,9/21/2023,12/6/2023,Marketing,1
560,false,4/28/2023,6/1/2023,Legal,1
561,false,9/9/2023,4/8/2023,Support,1
562,false,7/18/2023,2/6/2023,Support,1
563,false,6/2/2023,6/13/2023,Human Resources,1
564,true,5/15/2023,12/30/2023,Marketing,1
565,false,3/23/2023,3/28/2023,Sales,1
566,true,8/28/2023,5/10/2023,Sales,1
567,false,4/22/2023,11/26/2023,Accounting,1
568,false,8/10/2023,8/22/2023,Training,1
569,false,11/5/2023,6/13/2023,Support,1
