id,status,created_date,updated_date,estudios,user
182,false,3/10/2023,10/20/2023,Odessa National Academy of Food Technologies,1
183,false,4/7/2023,1/6/2024,Universitas Nasional Jakarta,1
184,false,8/23/2023,6/4/2023,Taejon University,1
185,false,10/20/2023,6/12/2023,Pontifícia Universidade Católica do Rio Grande do Sul,1
186,true,8/29/2023,2/15/2023,Beijing Information Science and Technology University,1
187,true,11/22/2023,9/24/2023,St. Joseph's College of Maine,1
188,false,2/7/2023,11/29/2023,Cambridge College,1
189,false,12/21/2023,5/20/2023,Pedagogical University of Czestochowa,1
190,false,10/31/2023,1/27/2023,Medical Academy in Lodz,1
191,true,6/25/2023,3/30/2023,Corporación Universitaria de Ibagué (CORUNIVERSITARIA),1
192,false,1/21/2023,12/18/2023,University of Malakand,1
193,false,8/25/2023,1/18/2023,California Baptist College,1
194,true,11/18/2023,9/3/2023,Pomor State University,1
195,true,11/29/2023,3/10/2023,Philander Smith College,1
196,true,11/7/2023,12/14/2023,Universitas Negeri Gorontalo,1
197,false,2/2/2023,8/21/2023,Aarhus Technical College,1
198,true,11/13/2023,1/23/2023,Institut Supérieur de Commerce et d'Administration des Entreprises,1
199,true,6/5/2023,5/22/2023,Tokyo Metropolitan University of Health Sciences,1
200,true,6/18/2023,4/10/2023,"Katholische Fachhochschule Freiburg, Hochschule für Sozialwesen, Religionspädagogik und Pflege",1
201,true,3/21/2023,11/10/2023,Lyon College,1
202,false,10/18/2023,9/11/2023,National Institute of the Arts,1
203,false,4/18/2023,6/28/2023,Hodges University,1
204,true,4/18/2023,7/20/2023,George Brown College,1
205,true,2/22/2023,1/2/2024,Mar Athanasios College for Advanced Studies,1
206,true,1/27/2023,3/22/2023,Université de Bretagne Sud,1
207,true,8/19/2023,9/25/2023,Quincy University,1
208,true,12/2/2023,5/7/2023,Virginia Military Institute,1
209,true,10/22/2023,6/29/2023,George Fox University,1
210,true,12/14/2023,12/24/2023,Waterford Institute Of Technology,1
211,false,7/5/2023,11/28/2023,Université de Kamina,1
212,true,6/14/2023,10/4/2023,Bila Cerkva State Agrarian University,1
213,true,4/10/2023,8/31/2023,Liaquat University of Medical & Health Sciences Jamshoro,1
214,true,10/7/2023,5/22/2023,National College for Medical and Technical Studies,1
215,true,3/27/2023,2/7/2023,Kumamoto Institute of Technology,1
216,false,4/2/2023,2/19/2023,West Liberty State College,1
217,true,2/18/2023,7/23/2023,Albany State University,1
218,true,10/8/2023,11/20/2023,Kyushu Women's University,1
219,false,1/2/2024,3/3/2023,Illinois Valley Community College,1
220,true,5/25/2023,3/4/2023,University of Bristol,1
221,false,8/7/2023,12/10/2023,Darul Hikmah Islamic College,1
222,true,8/21/2023,2/9/2023,NHTV Breda University of Professional Education,1
223,true,7/9/2023,9/16/2023,Montana State University,1
224,false,3/29/2023,10/2/2023,Universidad Antonio de Nebrija,1
225,true,10/30/2023,3/3/2023,University of Central Oklahoma,1
226,false,11/17/2023,2/6/2023,Université Panthéon-Sorbonne (Paris I),1
227,false,1/20/2023,9/7/2023,Warnborough University,1
228,true,2/12/2023,10/13/2023,Abdus Salam international centre for theoretical physics,1
229,false,3/26/2023,6/1/2023,Comilla University,1
230,true,12/4/2023,12/12/2023,Universidad Nacional de Tumbes,1
231,true,11/2/2023,7/28/2023,National Chiayi University,1
232,false,2/27/2023,7/24/2023,Universitas Ngurah Rai,1
233,true,1/20/2023,7/7/2023,Qurtuba University of Science and Infromation Technology,1
234,false,4/8/2023,11/24/2023,Southern Denmark Business School,1
235,true,5/7/2023,6/17/2023,Ching Kuo Institue of Management & Health,1
236,false,7/7/2023,3/14/2023,Sapporo Medical University,1
237,true,2/17/2023,9/30/2023,Hyogo College of Medicine,1
238,true,9/10/2023,11/5/2023,University of Hormozgan,1
239,true,2/27/2023,9/14/2023,International University for Science & Technology ,1
240,false,11/11/2023,3/8/2023,Ahmedabad University,1
241,true,10/10/2023,2/22/2023,"Universidad Nacional de la Patagonia ""San Juan Bosco""",1
242,false,11/30/2023,6/23/2023,Campbellsville College,1
243,true,9/23/2023,2/12/2023,Voronezh State Pedagogical University,1
244,true,9/27/2023,10/3/2023,Western Kentucky University,1
245,true,8/24/2023,6/30/2023,"Arizona State University, Downtown Phoenix Campus",1
246,true,10/15/2023,10/19/2023,American University in the Emirates,1
247,false,11/19/2023,5/13/2023,The Global College Lahore,1
248,true,5/28/2023,7/9/2023,Hokkaido Information University,1
249,true,2/1/2023,7/11/2023,William and Catherine Booth College,1
250,true,6/27/2023,10/22/2023,Universitas Putera Batam,1
251,false,6/27/2023,8/16/2023,Southern Yangtze University,1
252,true,12/12/2023,11/26/2023,Agricultural University of Szczecin,1
253,true,12/12/2023,8/11/2023,Central Institute of Fisheries Education,1
254,true,6/6/2023,3/19/2023,Walter Sisulu University for Technology and Science,1
255,true,11/24/2023,11/4/2023,Universidad Nacional de Santa - Chimbote,1
256,true,7/9/2023,3/31/2023,Universidad del Pacifico,1
257,false,9/19/2023,3/31/2023,Kamakura Women's College,1
258,true,7/19/2023,8/1/2023,University of Mkar,1
259,true,12/23/2023,9/18/2023,Al-Isra University,1
260,false,7/12/2023,8/11/2023,Daniel Webster College,1
261,true,9/30/2023,1/8/2024,Universidad de Montevideo,1
262,true,2/15/2023,3/2/2023,Mazandaran University of Medical Science,1
263,false,9/1/2023,6/8/2023,Allameh Tabatabaie University,1
264,true,5/9/2023,6/29/2023,Al-Jabal Al-Gharbi University,1
265,true,10/27/2023,11/22/2023,University of Chittagong,1
266,true,4/14/2023,9/25/2023,Miami University of Ohio - Hamilton,1
267,true,1/10/2024,12/25/2023,University of Central Punjab,1
268,false,2/15/2023,5/1/2023,Soka University,1
269,true,6/4/2023,4/25/2023,University of Sibiu,1
270,true,12/20/2023,8/5/2023,"University ""Titu Maiorescu""",1
271,false,4/18/2023,4/5/2023,Emory & Henry College,1
272,true,4/18/2023,12/11/2023,Fachhochschule Ingolstadt,1
273,false,9/8/2023,12/21/2023,Royal Roads University,1
274,false,7/23/2023,11/21/2023,Bar-Ilan University,1
275,false,4/10/2023,12/24/2023,Instituto Politécnico da Guarda,1
276,true,11/8/2023,10/24/2023,University of Management and Technology,1
277,false,8/27/2023,1/31/2023,Midwestern State University,1
278,false,4/4/2023,11/23/2023,Universidade Ibirapuera,1
279,false,11/24/2023,4/19/2023,University of Alexandra Dubček in Trenčín,1
280,true,2/7/2023,9/14/2023,State University of New York College of Agriculture and Technology at Cobleskill,1
281,false,3/13/2023,10/12/2023,Baku Slavic University,1
282,false,11/19/2023,9/22/2023,China University of Political Science and Law,1
283,true,10/3/2023,12/13/2023,Mount Saint Vincent University,1
284,false,3/23/2023,11/1/2023,"Indian Institute of Technology, Roorkee",1
285,false,1/11/2024,1/31/2023,Universitas Simalungun,1
286,false,6/20/2023,12/29/2023,Wuhan Automobile Polytechnical University,1
287,false,2/13/2023,11/4/2023,"Birla Institute of Technology, Ranchi",1
288,true,10/17/2023,8/31/2023,St. John's Seminary,1
289,true,4/14/2023,10/2/2023,Université de Liège,1
290,true,5/5/2023,9/1/2023,Kyoto University of Art and Design,1
291,false,4/1/2023,6/4/2023,University of Osijek,1
292,false,2/19/2023,6/6/2023,Kuala Terengganu City Polytechnic,1
293,true,12/15/2023,4/25/2023,University of Abertay Dundee,1
294,true,3/6/2023,10/19/2023,Technische Universität Ilmenau,1
295,false,8/18/2023,3/24/2023,Technical University of Zielona Gora,1
296,false,3/28/2023,5/24/2023,Milligan College,1
297,true,9/25/2023,5/11/2023,University of Papua New Guinea,1
298,true,6/8/2023,5/12/2023,Universiti Tenaga Nasional,1
299,false,4/11/2023,12/4/2023,Ufuk University,1
300,false,9/7/2023,12/11/2023,Universidad de Atacama,1
301,true,12/23/2023,12/20/2023,Universidad Motolinía del Pedegral,1
302,false,12/23/2023,1/1/2024,Himeji Dokkyo University,1
303,true,8/2/2023,11/23/2023,Blue Mountains Hotel School,1
304,false,2/23/2023,3/6/2023,Dominica State College,1
305,false,11/3/2023,12/31/2023,Universität der Bundeswehr Hamburg,1
306,false,1/12/2024,8/29/2023,"University of Maine, Machias",1
307,true,4/3/2023,6/20/2023,Université Euro-Afrique,1
308,false,12/12/2023,6/30/2023,Wesleyan University,1
309,false,12/14/2023,10/26/2023,Universidad Autónoma del Paraguay,1
310,false,10/23/2023,3/23/2023,Vanguard University of Southern California,1
311,true,10/12/2023,11/17/2023,Université Moulay Ismail Meknès,1
312,true,9/20/2023,2/18/2023,Power and Water Institute of Technology,1
313,false,9/13/2023,1/2/2024,Visva-Bharati University,1
314,false,1/31/2023,3/27/2023,Texas Tech University,1
315,true,3/8/2023,11/7/2023,Alma College,1
316,true,2/6/2023,5/8/2023,Tokyo Keizai University,1
317,false,7/17/2023,12/7/2023,China Foreign Affairs University,1
318,false,3/5/2023,1/11/2024,Manonmaniam Sundaranar University,1
319,true,7/14/2023,6/11/2023,Fayetteville State University,1
320,false,2/13/2023,11/5/2023,DCT International Hotel & Business Management School,1
321,true,11/28/2023,7/29/2023,Virginia Military Institute,1
322,true,4/13/2023,11/25/2023,Northwest A&F University,1
323,false,4/17/2023,5/24/2023,"National Chung Hsing University, Taichung",1
324,false,1/17/2023,1/18/2023,Shahrood University of Technology,1
325,true,8/18/2023,2/13/2023,Swedish University of Agricultural Sciences,1
326,true,9/4/2023,4/5/2023,Otto-Friedrich Universität Bamberg,1
327,false,12/13/2023,5/28/2023,Ardabil University of Medical Sciences,1
328,false,8/6/2023,5/28/2023,Kent State University - Ashtabula,1
329,false,12/23/2023,4/16/2023,Birjand University of Medical Sciences,1
330,false,10/28/2023,1/7/2024,Medical College of Pennsylvania and Hahnemann University,1
331,true,4/17/2023,12/9/2023,Tennessee Temple University,1
332,false,10/31/2023,8/24/2023,Technical University of Sofia,1
333,false,11/25/2023,9/24/2023,Hawler Medical University,1
334,false,7/8/2023,12/17/2023,Illinois School of Professional Psychology - Chicago Campus,1
335,true,10/12/2023,5/4/2023,Mogadishu University,1
336,false,9/29/2023,10/31/2023,Northern Michigan University,1
337,false,3/4/2023,2/10/2023,University College Dublin,1
338,false,3/21/2023,8/5/2023,Jiangxi University of Finance and Economics,1
339,true,3/3/2023,4/25/2023,"Institute of Teachers Education, Ilmu Khas",1
340,true,4/14/2023,10/10/2023,Wuhan Technical University of Surveying and Mapping,1
341,false,2/15/2023,9/18/2023,National Taichung Teachers College,1
342,false,5/8/2023,6/21/2023,Technological University (Thanlyin),1
343,true,11/28/2023,2/9/2023,University of Tennessee - Memphis,1
344,false,7/1/2023,4/29/2023,University of Wisconsin - Whitewater,1
345,false,2/6/2023,11/28/2023,Tokyo Medical College,1
346,true,3/3/2023,9/19/2023,American InterContinental University - Ft. Lauderdale,1
347,false,10/10/2023,6/20/2023,Kitakyushu University,1
348,false,10/2/2023,11/30/2023,Tribhuvan University Kathmandu,1
349,false,4/7/2023,3/23/2023,Staatliche Hochschule für Musik,1
350,true,7/18/2023,6/6/2023,Eastern New Mexico University,1
351,false,1/9/2024,11/15/2023,Hefei University of Technology,1
352,true,8/7/2023,2/16/2023,University of Buckingham,1
353,false,1/26/2023,9/7/2023,Dominican College,1
354,true,8/8/2023,4/3/2023,Middle East Technical University,1
355,false,5/21/2023,12/13/2023,Bindura University of Science Education,1
356,true,1/31/2023,2/20/2023,Université d'Etat d'Haiti,1
357,true,7/27/2023,10/22/2023,Carlow College,1
358,false,3/18/2023,7/24/2023,Josai International University,1
359,true,4/3/2023,1/26/2023,Steinbeis-Hochschule-Berlin,1
360,false,1/19/2023,8/5/2023,Komsomolsk-on-Amur State Technical University,1
361,false,7/23/2023,8/7/2023,Instituto Superior D. Afonso III - INUAF,1
362,true,9/7/2023,9/27/2023,"Universidad de Bogotá ""Jorge Tadeo Lozano""",1
363,true,10/25/2023,3/26/2023,"University of the East, Coloocan",1
364,false,8/23/2023,6/21/2023,University of Milan,1
365,false,11/28/2023,10/4/2023,Fuji Women's College,1
366,false,7/10/2023,4/15/2023,Bugema University,1
367,true,1/15/2024,2/16/2023,Jimma University,1
368,false,4/15/2023,10/10/2023,Armenian State University of Economics,1
369,true,9/27/2023,5/16/2023,San Diego State University,1
370,true,1/10/2024,6/23/2023,Omsk State Pedagogical University,1
371,false,8/18/2023,2/2/2023,Florida Memorial College,1
372,false,4/2/2023,5/5/2023,China Academy of Art,1
373,true,7/15/2023,3/13/2023,Nebraska Wesleyan University,1
374,true,11/30/2023,1/22/2023,Nanjing University of Economics,1
375,true,10/18/2023,2/28/2023,Niigata Sangyo University,1
376,false,8/19/2023,6/17/2023,Universidade Metodista de Angola,1
377,false,3/23/2023,8/24/2023,St. Anselm College,1
378,false,3/4/2023,12/23/2023,College of St. Mary,1
379,false,2/21/2023,4/19/2023,Universität Graz,1
380,true,6/14/2023,11/20/2023,University of Bologna,1
381,false,10/20/2023,11/20/2023,Athlone Institute of Technology,1
382,true,8/6/2023,12/12/2023,Ferris University,1
383,true,1/23/2023,8/23/2023,Evangelische Fachhochschule Rheinland-Westfalen-Lippe,1
384,false,12/5/2023,8/29/2023,Seoul Teological University,1
385,true,12/26/2023,10/12/2023,Universidad Nacional Pedro Ruíz Gallo,1
386,true,12/8/2023,10/20/2023,Uva Wellassa University,1
387,true,3/9/2023,12/26/2023,Kirkwood Community College,1
388,false,7/24/2023,10/27/2023,Maria Grzegorzewska College for Special Education,1
389,true,11/14/2023,7/19/2023,Military Institute of Science and Technology,1
390,false,11/18/2023,6/16/2023,Private Fachhochschule für Wirtschaft und Technik Vechta/Diepholz,1
391,false,8/9/2023,8/27/2023,Romanian-American University,1
392,false,2/28/2023,10/24/2023,The College of New Jersey,1
393,true,11/15/2023,7/19/2023,Philadelphia College of Osteopathic Medicine,1
394,true,2/15/2023,3/16/2023,College of New Rochelle,1
395,true,1/4/2024,3/31/2023,Universidad Nacional Andrés Bello,1
396,true,8/16/2023,5/26/2023,Hochschule für Technik und Wirtschaft Dresden (FH),1
397,false,5/14/2023,10/30/2023,American Jewish University,1
398,true,12/29/2023,11/26/2023,Tabriz University,1
399,false,12/23/2023,7/9/2023,International Medical University,1
400,true,2/7/2023,9/3/2023,Newschool of Architecture and Design,1
401,true,8/22/2023,9/25/2023,Olive-Harvey College,1
402,false,7/27/2023,2/2/2023,Universitas Jayabaya,1
403,true,1/13/2024,6/19/2023,Loma Linda University,1
404,false,2/15/2023,5/23/2023,University of Otago,1
405,false,3/13/2023,7/25/2023,Ecole Supérieure de Commerce et des Affaires,1
406,true,12/22/2023,10/27/2023,Universidade de Taubaté,1
407,true,9/9/2023,11/5/2023,International Culinary Institute (ICI),1
408,false,11/17/2023,10/26/2023,Minnesota School of Professional Psychology,1
409,true,4/4/2023,11/24/2023,Universidad Católica Anselmo Llorente,1
410,false,3/4/2023,1/4/2024,"California State University, Dominguez Hills",1
411,false,8/20/2023,2/26/2023,Fakir Mohan University,1
412,true,12/25/2023,12/21/2023,Benguet State University,1
413,false,1/28/2023,10/13/2023,"Webster University, Vienna",1
414,false,9/6/2023,11/4/2023,International University Institute of Luxembourg,1
415,false,6/19/2023,9/10/2023,University of Illinois at Springfield,1
416,true,9/14/2023,12/17/2023,University of Trinity College,1
417,false,7/11/2023,2/15/2023,Mount Meru University,1
418,false,9/20/2023,4/9/2023,Huazhong Agricultural University,1
419,true,6/27/2023,2/27/2023,Universität Bielefeld,1
420,true,2/16/2023,10/21/2023,"Islamic Azad University, Dehaghan",1
421,false,11/29/2023,9/4/2023,Universitas Pancasakti Tegal,1
422,false,5/24/2023,9/30/2023,Fukui University,1
423,true,5/13/2023,6/22/2023,Universidad Bernardo O'Higgins,1
424,true,4/10/2023,11/26/2023,Liaocheng Teachers University,1
425,false,2/24/2023,6/3/2023,Universidad de Alcalá de Henares,1
426,true,5/13/2023,10/11/2023,Police Academy in Bratislava,1
427,false,12/2/2023,11/21/2023,Tokai Gakuen University,1
428,true,4/27/2023,9/6/2023,Darul Takzim Institute of Technology,1
429,false,11/6/2023,8/1/2023,Saint Mary's University,1
430,true,2/11/2023,9/13/2023,Kuala Lumpur Metropolitan University,1
431,false,9/19/2023,4/2/2023,Samara State Technical University,1
432,false,10/30/2023,2/23/2023,Madison University (Distance Education),1
433,false,1/18/2023,1/9/2024,Ecole Supérieure d'Optique,1
434,true,10/25/2023,10/11/2023,Muskingum College,1
